Station;Year;Tavg;Tavg_SE;Pr;Sn;Sn_SE;Tavg_base;Tavg_base_SE;Sn_base;Sn_base_SE;Pr_base;Pr_base_SE;T_anomaly;Sn_anomaly;Pr_anomaly;Tavg_last_decade;Tavg_last_decade_SE;Sn_last_decade;Sn_last_decade_SE;Pr_last_decade;Pr_last_decade_SE;T_diff;Sn_diff;Pr_diff;T_anomaly_roll_mean;Pr_anomaly_roll_mean;Sn_anomaly_roll_mean;Tavg_roll_mean;Pr_roll_mean;Sn_roll_mean;T_anomaly_roll_mean_from_1976;Pr_anomaly_roll_mean_from_1976;Sn_anomaly_roll_mean_from_1976;Tavg_roll_mean_from_1976;Pr_roll_mean_from_1976;Sn_roll_mean_from_1976
average_by_all_station;1974;-7,9815526479408963;5,03143761126588;NA;NA;NA;-4,98355773574106;0,260426703304003;NA;NA;NA;NA;-2,99799491219983150;NA;NA;-2,713925625133323;0,432829226346451;NA;NA;NA;NA;2,26963211060774;NA;NA;-0,939527290232617274;NA;NA;-5,923085025973682;NA;NA;NA;NA;NA;NA;NA;NA
average_by_all_station;1975;-3,6969289005924950;4,07585883898916;NA;NA;NA;-4,98355773574106;0,260426703304003;NA;NA;NA;NA;1,28662883514856974;NA;NA;-2,713925625133323;0,432829226346451;NA;NA;NA;NA;2,26963211060774;NA;NA;-0,760256626052966844;NA;NA;-5,743814361794032;NA;NA;NA;NA;NA;NA;NA;NA
average_by_all_station;1976;-5,4986493149354665;4,67119109004130;NA;NA;NA;-4,98355773574106;0,260426703304003;NA;NA;NA;NA;-0,51509157919440174;NA;NA;-2,713925625133323;0,432829226346451;NA;NA;NA;NA;2,26963211060774;NA;NA;-0,524234031030530789;NA;NA;-5,507791766771596;NA;NA;-0,5242340310305308;NA;NA;-5,507791766771596;NA;NA
average_by_all_station;1977;-5,7536539938556066;4,83298817789936;NA;NA;NA;-4,98355773574106;0,260426703304003;NA;NA;NA;NA;-0,77009625811454185;NA;NA;-2,713925625133323;0,432829226346451;NA;NA;NA;NA;2,26963211060774;NA;NA;-0,772919880639191370;NA;NA;-5,756477616380256;NA;NA;-0,7729198806391914;NA;NA;-5,756477616380256;NA;NA
average_by_all_station;1978;-3,8014782203203858;4,14648989705389;NA;NA;NA;-4,98355773574106;0,260426703304003;NA;NA;NA;NA;1,18207951542067891;NA;NA;-2,713925625133323;0,432829226346451;NA;NA;NA;NA;2,26963211060774;NA;NA;-0,488773358867709284;NA;NA;-5,472331094608774;NA;NA;-0,4887733588677093;NA;NA;-5,472331094608774;NA;NA
average_by_all_station;1979;-6,4256072160046811;5,21523701445595;NA;NA;NA;-4,98355773574106;0,260426703304003;NA;NA;NA;NA;-1,44204948026361635;NA;NA;-2,713925625133323;0,432829226346451;NA;NA;NA;NA;2,26963211060774;NA;NA;-0,414405902207625854;NA;NA;-5,397963637948690;NA;NA;-0,4144059022076259;NA;NA;-5,397963637948690;NA;NA
average_by_all_station;1980;-5,0406290940551228;4,50888769342946;NA;NA;NA;-4,98355773574106;0,260426703304003;NA;NA;NA;NA;-0,05707135831405807;NA;NA;-2,713925625133323;0,432829226346451;NA;NA;NA;NA;2,26963211060774;NA;NA;-0,320678772479204954;NA;NA;-5,304236508220270;NA;NA;-0,3206787724792050;NA;NA;-5,304236508220270;NA;NA
average_by_all_station;1981;-3,4087633494257918;4,01774678929759;NA;NA;NA;-4,98355773574106;0,260426703304003;NA;NA;NA;NA;1,57479438631527291;NA;NA;-2,713925625133323;0,432829226346451;NA;NA;NA;NA;2,26963211060774;NA;NA;-0,178129178448044184;NA;NA;-5,161686914189109;NA;NA;-0,1781291784480442;NA;NA;-5,161686914189109;NA;NA
average_by_all_station;1982;-4,1920100943603247;4,41213920696165;NA;NA;NA;-4,98355773574106;0,260426703304003;NA;NA;NA;NA;0,79154764138074007;NA;NA;-2,713925625133323;0,432829226346451;NA;NA;NA;NA;2,26963211060774;NA;NA;0,050987188565947153;NA;NA;-4,932570547175118;NA;NA;0,0509871885659472;NA;NA;-4,932570547175118;NA;NA
average_by_all_station;1983;-2,5623365152512618;3,76100162844519;NA;NA;NA;-4,98355773574106;0,260426703304003;NA;NA;NA;NA;2,42122122048980293;NA;NA;-2,713925625133323;0,432829226346451;NA;NA;NA;NA;2,26963211060774;NA;NA;0,147396801066861510;NA;NA;-4,836160934674203;NA;NA;0,1473968010668615;NA;NA;-4,836160934674203;NA;NA
