Year;Season;Tavg;Tavg_SE;Pr_sum;Sn_avg;Sn_avg_SE;Duration;start;Tavg_roll_mean;Pr_sum_roll_mean;Sn_avg_roll_mean;Duration_roll_mean;start_roll_mean
1986;Summer;11,908108108108108;0,531445898537009;339,3;2,00675675675675658;0,62590229934634967;148;127;12,26545436229787178;285,3444444444444;0,3788094486745162;138,8888888888889;137,6666666666667
1986;Winter;-18,248377281947263;1,092783018549607;177,3;37,40618661257606448;0,85154569877124953;155;294;-18,95225403821538634;180,6888888888889;43,2791962629160309;157,6666666666667;302,2222222222222
1987;Autumn;0,757142857142857;0,338664845460849;20,6;0,14285714285714285;0,09705231721239392;14;274;-2,23886934528351800;42,5555555555556;4,8625860500645501;27,2222222222222;276,8888888888889
1987;Spring;2,360000000000000;0,699131736645666;71,0;8,61818181818181905;1,54799553438373727;55;100;-0,93232378709608699;44,7000000000000;29,5386989278475305;45,1000000000000;94,3000000000000
1987;Summer;12,882352941176471;0,527298715549952;121,8;0,00000000000000000;0,00000000000000000;119;155;12,32714422018573330;268,9900000000000;0,3409285038070645;136,9000000000000;139,4000000000000
1987;Winter;-18,528472222222220;1,362536465579259;181,7;34,43308080808080263;0,80029985375026302;171;288;-18,90987585661606829;180,7900000000000;42,3945847174325081;159,0000000000000;300,8000000000000
1988;Autumn;-2,328571428571428;1,075777768877984;31,3;4,39285714285714324;0,91913705461702933;28;279;-2,24783955361230925;41,4300000000000;4,8156131593438092;27,3000000000000;277,1000000000000
1988;Spring;-2,672222222222222;0,963727972478890;46,6;58,52777777777777857;2,72684657431600064;36;98;-0,82036568144945676;43,6200000000000;31,3095094925105535;42,6000000000000;96,2000000000000
1988;Summer;10,838620689655173;0,434110913982579;238,0;0,45517241379310347;0,20388452481323055;145;134;12,29431564166923607;257,2700000000000;0,3864457451863749;137,5000000000000;138,8000000000000
1988;Winter;-19,157434575733546;1,150633295422733;202,3;54,65060798308221024;1,44033715214463154;175;307;-19,01478835502513220;169,8500000000000;42,8822476050094892;160,6000000000000;300,9000000000000
1989;Autumn;0,457692307692308;0,767236260411316;32,7;0,65384615384615385;0,20712172335132711;26;269;-2,18836661913937469;41,5400000000000;4,6735903673210180;27,2000000000000;276,1000000000000
1989;Spring;-5,594871794871795;1,111739277085789;28,5;53,69230769230769340;1,38682534686879055;39;89;-1,33651952760330284;45,1900000000000;33,5454069284079921;44,4000000000000;93,8000000000000
1989;Summer;11,270212765957448;0,487546786449833;264,0;0,67375886524822692;0,27903736207306717;141;128;12,20968174585118682;248,8500000000000;0,4324423213663700;137,1000000000000;138,2000000000000
1989;Winter;-13,681856060606062;0,907333135172066;171,0;42,53181818181818130;0,85371382396666640;148;295;-18,50048884203811994;169,7200000000000;44,4830484708103526;158,2000000000000;295,9000000000000
1990;Autumn;-7,730612244897960;1,413877418461605;94,0;8,18367346938775597;1,13114289224512321;49;277;-1,90112481332614025;40,2400000000000;2,9919577142597933;25,5000000000000;275,9000000000000
1990;Spring;-1,889130434782609;0,721527019061279;34,8;34,41304347826086740;2,40401758876838301;46;82;-1,55586735369025941;43,9000000000000;33,7975808414514702;44,4000000000000;91,6000000000000
1990;Summer;12,311409395973154;0,523327174510477;218,9;0,08724832214765101;0,03554770327146262;149;128;12,21021662484244175;245,9900000000000;0,4404095778235593;138,8000000000000;136,0000000000000
1990;Winter;-18,521431055468614;1,339368628336371;205,4;46,08850634672231195;1,97673771139673438;152;326;-17,89523019076574784;181,5800000000000;43,0084733079791164;161,0000000000000;297,8000000000000
1991;Autumn;-1,942857142857143;0,984535048724221;29,2;4,35714285714285676;1,10745298740364695;14;281;-1,86661052761185453;39,8000000000000;3,0476719999740789;24,4000000000000;275,8000000000000
1991;Spring;-0,428301886792453;0,818696516809716;46,9;26,77358490566037830;3,89676669117523700;53;89;-1,55348015106515680;44,0500000000000;35,0205915059305468;45,1000000000000;91,8000000000000
1991;Summer;12,924460431654676;0,431749841801656;248,1;0,00719424460431655;0,00719424460431655;139;142;12,22409123943648090;248,4100000000000;0,4411290022839910;139,4000000000000;136,9000000000000
1991;Winter;-20,851590909090909;1,195560386599959;125,6;55,23636363636363455;0,90759737440825949;128;295;-18,21124780880662186;176,2700000000000;44,3287375785922251;159,2000000000000;298,6000000000000
1992;Autumn;-0,566666666666667;0,752854084156187;78,3;1,30000000000000004;0,37493294419626316;30;271;-1,55422957523090211;42,7500000000000;2,9205291428312217;25,3000000000000;276,3000000000000
1992;Spring;1,158823529411765;0,853096672776686;55,9;21,60784313725490335;3,02292916398784861;51;104;-1,56093113145731377;44,9900000000000;35,7813758196560414;46,0000000000000;93,0000000000000
1992;Summer;12,809482758620689;0,563393522807676;152,5;0,01724137931034483;0,01724137931034483;116;155;12,25328769048103084;228,7500000000000;0,4428531402150255;137,3000000000000;139,0000000000000
