Year;Season;Tavg;Tavg_SE;Pr_sum;Sn_avg;Sn_avg_SE;Duration;start
1995;Summer;11,341221374045801;0,574225072268577;204,2;0,0000000000000000;0,0000000000000000;131;153
1995;Winter;-15,366379110699398;1,232327897886250;221,3;47,8139763779527556;2,1197504409829353;195;298
1996;Autumn;0,881250000000000;0,384731372735142;13,0;0,1250000000000000;0,0853912563829966;16;278
1996;Spring;1,555555555555556;0,761415186622747;8,8;0,3333333333333333;0,2357022603955159;9;140
1996;Summer;11,148062015503877;0,644293394853714;138,0;0,0000000000000000;0,0000000000000000;129;149
1996;Winter;-13,697482014388489;0,883269911005524;234,9;45,5115319509098555;1,5972962913398177;207;294
1997;Autumn;-2,416666666666667;0,808381340802015;27,7;0,7222222222222222;0,2399013353233066;18;287
1997;Spring;2,450000000000000;0,727010286064754;16,0;0,2857142857142857;0,2206028560426894;14;110
1997;Summer;9,544785276073620;0,378193717625474;188,9;0,0000000000000000;0,0000000000000000;163;124
1997;Winter;-16,343358049516148;1,164964612701299;188,7;41,8841271836119091;1,6392587158855745;182;305
1998;Autumn;-1,925000000000000;0,454926734027946;12,1;1,3750000000000000;0,4269562819149832;16;262
1998;Summer;13,249579831932774;0,536147926404784;141,7;0,0000000000000000;0,0000000000000000;119;143
1998;Winter;-17,817386284922652;1,298222291294419;212,3;38,4250173170168523;1,3789935584511221;203;278
1999;Autumn;1,778571428571428;0,786924642176542;7,1;0,2142857142857143;0,1138039295450988;14;269
1999;Summer;11,928260869565218;0,474936163711069;128,2;0,0000000000000000;0,0000000000000000;138;131
1999;Winter;-16,824458041958042;1,185199031833652;198,2;48,0873251748251747;1,7538091637760442;218;283
2000;Summer;11,529411764705882;0,511538586471955;239,1;0,0000000000000000;0,0000000000000000;153;136
2000;Winter;-13,332945113788487;1,161896064639518;223,4;37,5410084783578810;1,4345514139073106;218;289
2001;Summer;12,648000000000000;0,487100465545534;285,5;0,0000000000000000;0,0000000000000000;150;135
2001;Winter;-19,832663605051664;1,335547888231570;233,2;41,7213930348258728;1,2662499353388497;212;285
2002;Autumn;2,040000000000000;0,736953187115708;44,8;0,6000000000000000;0,2516611478423583;25;257
2002;Summer;13,629365079365080;0,478776307194249;242,9;0,0000000000000000;0,0000000000000000;126;131
2002;Winter;-12,917136752136752;1,066121654014076;286,8;43,7596391263057924;1,3916862790317288;211;282
2003;Autumn;0,357142857142857;0,690016267184761;17,6;1,0000000000000000;0,5773502691896257;7;290
2003;Summer;11,631410256410257;0,546061016722887;137,3;0,0000000000000000;0,0000000000000000;156;134
2003;Winter;-14,288627819548871;1,123548669652795;247,6;41,4385964912280684;1,2683385872391189;217;297
2004;Summer;11,318918918918920;0,493753359842834;241,9;0,0000000000000000;0,0000000000000000;148;140
2004;Winter;-15,100469189865498;1,082382991630125;248,7;48,0168387029506860;1,2401083549802681;208;288
2005;Summer;16,199417701863354;0,413653110971387;180,1;0,0000000000000000;0,0000000000000000;92;152
2005;Winter;-12,492344840903918;1,195339242579213;229,8;32,4671808198507819;1,7906456395817369;230;244
2006;Summer;15,755309265010352;0,490455065801384;141,3;0,0000000000000000;0,0000000000000000;92;152
2006;Winter;-10,588098142877822;1,275553420173010;395,8;25,3296873303658643;1,3469455252738700;273;244
2007;Summer;15,123969979296065;0,490357435514437;181,5;0,0000000000000000;0,0000000000000000;92;152
2007;Winter;-8,366412945701569;1,161947815168719;315,7;41,9382396048203248;2,3914087719759851;273;244
2008;Summer;14,266576086956523;0,340094195320043;218,6;0,0000000000000000;0,0000000000000000;92;152
2008;Winter;-7,807348696046651;1,068819146061224;349,6;37,9223754206926458;1,9125634827023728;273;244
2009;Summer;15,698311335403726;0,455806818758014;97,1;0,0000000000000000;0,0000000000000000;92;152
2009;Winter;-9,187574357910574;1,184425890830381;364,7;33,1005319726414058;1,8881743130520219;273;244
2010;Summer;13,128765527950311;0,324267067139574;170,0;0,0000000000000000;0,0000000000000000;92;152
2010;Winter;-12,937852574044491;1,400692160204715;291,9;32,1009526652915014;1,7108701391951868;273;244
2011;Summer;14,599561335403726;0,388103623704677;170,5;0,0000000000000000;0,0000000000000000;92;152
2011;Winter;-9,339488257440635;1,277342302952305;315,0;16,9892926935186210;1,1322457485523985;273;244
2012;Summer;16,769615683229812;0,459681700097492;32,2;0,0000000000000000;0,0000000000000000;92;153
2012;Winter;-7,193004058558280;1,043963443064379;239,7;24,2411022433132004;1,6403164503812124;274;245
2013;Summer;16,467639751552795;0,486191292252876;118,4;0,0000000000000000;0,0000000000000000;92;152
2013;Winter;-11,755238754387870;1,274404069176996;312,1;31,2203479535338175;1,8650929130810092;273;244
2014;Summer;14,806444099378881;0,565672634440994;215,0;0,0000000000000000;0,0000000000000000;92;152
2014;Winter;-7,911716871907812;1,012455921871455;458,6;30,0288920855498844;1,8216708265141692;273;244
2015;Summer;16,092857142857142;0,386206185210575;206,5;0,0000000000000000;0,0000000000000000;92;152
2015;Winter;-7,774869365561880;1,029840320426159;439,8;50,7409211811963985;2,4139856361175074;273;244
2016;Summer;17,810190217391305;0,443511609239267;129,5;0,0000000000000000;0,0000000000000000;92;153
2016;Winter;-7,268164109043100;0,986386178726819;310,9;32,2277825711820540;1,7986825309246126;274;245
2017;Summer;16,149864130434782;0,505676999407261;180,1;0,0000000000000000;0,0000000000000000;92;152
2017;Winter;-8,561887943892138;1,125686439052366;291,3;33,5315926609488670;1,7060393647978163;273;244
2018;Summer;16,036607142857143;0,456280234439630;124,2;0,0000000000000000;0,0000000000000000;92;152
2018;Winter;-9,054717218284557;0,944807602850603;357,7;41,0631038975138409;2,0786561259934144;273;244
2019;Summer;16,680150103519669;0,448861337459813;232,6;0,0000000000000000;0,0000000000000000;92;152
2019;Winter;-8,284893120802767;1,191326448708791;387,1;24,4413337314080970;1,2483612562690785;273;244
2020;Summer;16,392384834368528;0,399066317409888;251,4;0,0000000000000000;0,0000000000000000;92;153
2020;Winter;-5,736892275514606;1,077828468086031;404,7;33,4847120362381361;2,0757219759285213;274;245
2021;Summer;14,486917701863355;0,442674871035293;228,5;0,0000000000000000;0,0000000000000000;92;152
2021;Winter;-9,339167406594600;1,279332745740804;417,1;31,4325941808707015;1,6785650417629456;273;244
2022;Summer;15,156696428571429;0,428715501480868;227,6;0,0000000000000000;0,0000000000000000;92;152
2022;Winter;-7,508097994246010;1,132816937632933;423,8;41,1918901313646728;2,0106507119381445;273;244
2023;Summer;16,516666666666666;0,806245350781365;21,4;0,0000000000000000;0,0000000000000000;12;152
2023;Winter;-8,827914734453113;1,132111427329899;321,8;28,2487786342416669;1,3854826832508409;273;164
